Aggregation_Level,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
singlecell,0.6281934848081586,0.011062916452267263,0.5705266182629483,0.03409703887115457
metacell_2,0.6664509416444065,0.009296829954148522,0.5906481517428995,0.03613269780527916
metacell_4,0.6112243361938454,0.03742649735566325,0.557984261891346,0.052378920792095336
metacell_8,0.6303096901863884,0.02640172601072312,0.5734666623134781,0.043560735646330125
metacell_16,0.6671470101983862,0.016795887460666258,0.610633972088678,0.04768380186168014
