Aggregation_Level,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
singlecell,0.836533911583342,0.031140699791705004,0.8342130575664333,0.03225682295443946
metacell_2,0.8340514698308011,0.026352070114270727,0.8320746692659989,0.026788164892455772
metacell_4,0.7716801170134586,0.018954577640699403,0.7685512725473778,0.018456355600222026
metacell_8,0.7635933724462289,0.03075193182330473,0.758100808026785,0.03176215956995181
metacell_16,0.7839173200308361,0.022307045330107175,0.779964771190318,0.021338301311973368
